,Status,SF0012.bam,SF0016.bam,SF0018.bam,SF0022.bam,SM1004.bam,SM1005.bam,SM1007.bam,SM1008.bam,SM1010.bam,TF0005.bam,TF0006.bam,TF0008.bam,TF0011.bam,TF0014.bam,TF0015.bam,TF0021.bam,TF0023.bam,TM1006.bam,TM1009.bam,TM1011.bam
1,Assigned,72402734,58151314,63041017,37881390,40630168,59576457,62174714,56392591,54330203,57509016,60169997,54694421,46849363,74356611,49375169,77667062,18356225,48940807,62075937,46909320
2,Unassigned_Unmapped,868740,668304,1021235,1125217,2294441,2888051,1947319,1311863,787685,1620414,805064,713199,1444324,552779,999008,898971,2457819,997529,1060082,1390830
3,Unassigned_Read_Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unassigned_Singleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unassigned_MappingQuality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unassigned_Chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Unassigned_FragmentLength,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unassigned_Duplicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unassigned_MultiMapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unassigned_Secondary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Unassigned_NonSplit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Unassigned_NoFeatures,12141638,10890952,11324405,17189129,15842307,13181525,10675796,14989009,17340570,12148208,16343451,15427022,14619096,7977863,13348001,11038493,31094143,13952610,14847072,17789669
13,Unassigned_Overlapping_Length,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Unassigned_Ambiguity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,85413112,69710570,75386657,56195736,58766916,75646033,74797829,72693463,72458458,71277638,77318512,70834642,62912783,82887253,63722178,89604526,51908187,63890946,77983091,66089819
,,84.76770405,83.4182162,83.62357413,67.40972304,69.13782578,78.75688207,83.12368799,77.57587639,74.98117473,80.6831113,77.82094539,77.21422662,74.46716035,89.70813763,77.48506179,86.67761046,35.3628706,76.60053586,79.60179085,70.97813356
